#ruleString,category,isTransfer,merchant,targetAcc,ref
SMSChgs,CHARGES,FALSE,ICICI,,
PayTM,RECHARGE,FALSE,PayTM,,
Pisces eser,FOOD,FALSE,FoodPanda,,
FACEBOOK,MISC,FALSE,Facebook,,
ACCELYST,RECHARGE,FALSE,Freecharge,,
irctc.co.in,TRAVELLING,FALSE,IRCTC,,
FREECHARGE,RECHARGE,FALSE,Freecharge,,
FAASOS,FOOD,FALSE,Faasos,,
IWISH,DEPOSIT,TRUE,ICICI,FD_ACCOUNT,??
DCARDFEE,CHARGES,FALSE,ICICI,,
Int.Pd,INTEREST_CHARGES,FALSE,ICICI,,
Interest Earned,INTEREST_CHARGES,FALSE,CITI,,
RELIANCE FRESH,GROCERY,FALSE,R-Fresh,,
ATM/CASH,WITHDRAW,TRUE,,SELF,WITHDRAW
ATM WITHDRAWAL,WITHDRAW,TRUE,,SELF,WITHDRAW
IMPS OUTWARD,ELECTRONIC,TRUE,,SINK_ACCOUNT,IMPS_OUTWARD
NEFT INWARD,ELECTRONIC,TRUE,,SOURCE_ACCOUNT,NEFT_INWARD
Payment for Credit Card No,BILL_PAY,TRUE,,CREDIT_CARD,CREDIT_CARD_PAYMENT
SALARY CREDIT,SALARY,TRUE,,SOURCE_ACCOUNT,SALARY_CREDIT
